sample_name,file_name,genome,species_name,species_id,assay,cell_line,target,data_source,file_acc,provided_format_type,description,size,id
encode_38,ENCFF099PNC.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,GM12878,KAT2A,ENCODE,ENCFF099PNC,narrowPeak,KAT2A TF ChIP-seq on human GM12878,3580035,0f80de6688f65d05dee3562c0c3561ad
encode_39,ENCFF115QNH.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,GM12878,KAT2A,ENCODE,ENCFF115QNH,narrowPeak,KAT2A TF ChIP-seq on human GM12878,3105,f2d68fa7efce7deb49bd86162da033ce
encode_40,ENCFF710ROZ.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,GM12878,KAT2A,ENCODE,ENCFF710ROZ,narrowPeak,KAT2A TF ChIP-seq on human GM12878,3673,c1da0e4fdfcc58bbf6bb2666f5500fc1
encode_41,ENCFF703GTL.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,skeletal muscle myoblast,H3K4me1,ENCODE,ENCFF703GTL,narrowPeak,H3K4me1 Histone ChIP-seq on human skeletal muscle myoblast,3215768,c89e90a5eae0dfca36ad3afc9b988c0b
encode_42,ENCFF316TFY.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,skeletal muscle myoblast,H3K4me1,ENCODE,ENCFF316TFY,narrowPeak,H3K4me1 Histone ChIP-seq on human skeletal muscle myoblast,3729001,df75e4e1be1162726992bc446617d7d9
encode_43,ENCFF965NHY.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,skeletal muscle myoblast,H3K4me1,ENCODE,ENCFF965NHY,narrowPeak,H3K4me1 Histone ChIP-seq on human skeletal muscle myoblast,2280115,23cd39ecb9b7ecbf495e42c13fd35110
encode_44,ENCFF749BII.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,skeletal muscle myoblast,H3K4me1,ENCODE,ENCFF749BII,narrowPeak,H3K4me1 Histone ChIP-seq on human skeletal muscle myoblast,2280900,9f9f6876af76a0f0a75a654c6f514f55
encode_45,ENCFF348XKJ.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,ZBTB7A,ENCODE,ENCFF348XKJ,narrowPeak,ZBTB7A TF ChIP-seq on human K562,4015381,d5a67d3e3c44622bb2eda09414812daa
encode_46,ENCFF193NOO.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,ZBTB7A,ENCODE,ENCFF193NOO,narrowPeak,ZBTB7A TF ChIP-seq on human K562,5345806,19a2843e1146b48334fb96c445d15290
encode_47,ENCFF482PBU.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,ZBTB7A,ENCODE,ENCFF482PBU,narrowPeak,ZBTB7A TF ChIP-seq on human K562,373605,a7b90b3ef0e18cadee93cf1ace3afa50
encode_48,ENCFF245LRG.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,ZBTB7A,ENCODE,ENCFF245LRG,narrowPeak,ZBTB7A TF ChIP-seq on human K562,530654,345c5a338b5e577a84307198a32c6c96
encode_49,ENCFF586QIP.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,ZBTB7A,ENCODE,ENCFF586QIP,narrowPeak,ZBTB7A TF ChIP-seq on human K562,5817996,188c1cdd7fe92cc7cd3af3fb159a4525
encode_50,ENCFF259GHQ.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,liver,,ENCODE,ENCFF259GHQ,tss_peak,RAMPAGE on human liver,588546,878fa73e3d9f89be320a33f7cf522948
encode_51,ENCFF866WGI.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,liver,,ENCODE,ENCFF866WGI,tss_peak,RAMPAGE on human liver,545856,8d27ceca34f1580865554a11a468f790
encode_52,ENCFF777KGE.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,liver,,ENCODE,ENCFF777KGE,idr_peak,RAMPAGE on human liver,153632,01f37848395d17f08a3fceef18ee6f5d
encode_53,ENCFF987RPI.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,keratinocyte,H2AFZ,ENCODE,ENCFF987RPI,narrowPeak,H2AFZ Histone ChIP-seq on human keratinocyte,1499344,3e98aec79b67ddb3e70d41e411c5b248
encode_54,ENCFF768JAF.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,keratinocyte,H2AFZ,ENCODE,ENCFF768JAF,narrowPeak,H2AFZ Histone ChIP-seq on human keratinocyte,1038062,da592baa216028818360ba84dfbf6b0a
encode_55,ENCFF142CUC.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,keratinocyte,H2AFZ,ENCODE,ENCFF142CUC,narrowPeak,H2AFZ Histone ChIP-seq on human keratinocyte,1710059,25e83542373717251d0f5b879a6ab58e
encode_56,ENCFF198OJQ.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,keratinocyte,H2AFZ,ENCODE,ENCFF198OJQ,narrowPeak,H2AFZ Histone ChIP-seq on human keratinocyte,1637488,9e052b96154dd53d0358197680bface7
encode_57,ENCFF891RTU.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,USF2,ENCODE,ENCFF891RTU,narrowPeak,USF2 TF ChIP-seq on human K562,4123952,2443b762a609cd7132b673a76e9f83f4
encode_58,ENCFF420KJG.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,USF2,ENCODE,ENCFF420KJG,narrowPeak,USF2 TF ChIP-seq on human K562,4212444,833078f9428e4fe8c71b19f53ad3757f
encode_59,ENCFF998IVE.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,USF2,ENCODE,ENCFF998IVE,narrowPeak,USF2 TF ChIP-seq on human K562,4798222,a2a8a63bac1fe0feaa97e14392512c05
encode_60,ENCFF425FVY.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,USF2,ENCODE,ENCFF425FVY,narrowPeak,USF2 TF ChIP-seq on human K562,64564,6e4d348e77cd711c2b0d2c96d7bb4787
encode_61,ENCFF602YIK.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,USF2,ENCODE,ENCFF602YIK,narrowPeak,USF2 TF ChIP-seq on human K562,62768,dcc005e8761ad5599545cc538f6a2a4d
encode_62,ENCFF362NUW.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,B cell,H2AFZ,ENCODE,ENCFF362NUW,narrowPeak,H2AFZ Histone ChIP-seq on human B cell,1652503,5f33dfa24627394d4165d074986bb77a
encode_63,ENCFF582GKS.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,B cell,H2AFZ,ENCODE,ENCFF582GKS,narrowPeak,H2AFZ Histone ChIP-seq on human B cell,1703644,91d8d6e29b3cc4832dfe48248ef18d66
encode_64,ENCFF401YZF.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,B cell,H2AFZ,ENCODE,ENCFF401YZF,narrowPeak,H2AFZ Histone ChIP-seq on human B cell,1727036,199a22bc5b4d65afda10f27bcaa10612
encode_65,ENCFF052HQG.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,B cell,H2AFZ,ENCODE,ENCFF052HQG,narrowPeak,H2AFZ Histone ChIP-seq on human B cell,1462085,4e8a8bcfe0b57f8158ff022c0f2a91f9
encode_66,ENCFF285ILQ.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,MYC,ENCODE,ENCFF285ILQ,narrowPeak,MYC TF ChIP-seq on human K562,3083522,92fde694bf695be41c938d896a92d45b
encode_67,ENCFF758MFJ.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,MYC,ENCODE,ENCFF758MFJ,narrowPeak,MYC TF ChIP-seq on human K562,3037268,b196fabf1dd604c6d0912be0aff39111
encode_68,ENCFF051ILG.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,MYC,ENCODE,ENCFF051ILG,narrowPeak,MYC TF ChIP-seq on human K562,4839291,e2bdb66aa3bd22539c047d1344193b0f
encode_69,ENCFF695KNI.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,MYC,ENCODE,ENCFF695KNI,narrowPeak,MYC TF ChIP-seq on human K562,125693,2cac474738e3c30974d898808977fef6
encode_70,ENCFF700TLG.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,MYC,ENCODE,ENCFF700TLG,narrowPeak,MYC TF ChIP-seq on human K562,158337,b22723320c11d696009d11c631f70987
encode_71,ENCFF538TMU.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,H1,USF1,ENCODE,ENCFF538TMU,narrowPeak,USF1 TF ChIP-seq on human H1,4148309,876d8bf3f66e00381db3bf109fece1b7
encode_72,ENCFF255IQC.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,H1,USF1,ENCODE,ENCFF255IQC,narrowPeak,USF1 TF ChIP-seq on human H1,5155597,067613bf1f99f296b67978cf50882975
encode_73,ENCFF494WMB.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,H1,USF1,ENCODE,ENCFF494WMB,narrowPeak,USF1 TF ChIP-seq on human H1,4490419,57dbcf866830a8a9b32fe810d40cd24f
encode_74,ENCFF770USX.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,H1,USF1,ENCODE,ENCFF770USX,narrowPeak,USF1 TF ChIP-seq on human H1,514742,80d6fd77f5a0a132945ac73520b48be1
encode_75,ENCFF699HXL.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,H1,USF1,ENCODE,ENCFF699HXL,narrowPeak,USF1 TF ChIP-seq on human H1,534069,9db33a38fc6510633c51c2deeb97fcb9
encode_76,ENCFF263ESY.bed.gz,hg38,Homo sapiens,9606,microRNA counts,GM12878,,ENCODE,ENCFF263ESY,bed6+,microRNA counts on human GM12878,14644,
encode_77,ENCFF275JUS.bed.gz,hg38,Homo sapiens,9606,microRNA counts,GM12878,,ENCODE,ENCFF275JUS,bed6+,microRNA counts on human GM12878,13877,fb9059cdf55a958bd5dacf399b20c1e5
encode_78,ENCFF272NUH.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,tongue,,ENCODE,ENCFF272NUH,tss_peak,RAMPAGE on human tongue,659178,d1a4ee4963ce5c0ee3ab541ac0544a6c
encode_79,ENCFF437CMX.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,tongue,,ENCODE,ENCFF437CMX,idr_peak,RAMPAGE on human tongue,143668,be030578363ebbcbc0380a8d340c2106
encode_80,ENCFF740VDH.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,tongue,,ENCODE,ENCFF740VDH,tss_peak,RAMPAGE on human tongue,379479,aa99d980f50f6dc10b864e6cbca653c2
encode_81,ENCFF239SQD.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,B cell,EZH2,ENCODE,ENCFF239SQD,narrowPeak,EZH2 TF ChIP-seq on human B cell,5168205,018cfa2c47249f966c1cf0a8145aa6b2
encode_82,ENCFF907RKX.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,B cell,EZH2,ENCODE,ENCFF907RKX,narrowPeak,EZH2 TF ChIP-seq on human B cell,1562821,a088966dde6b36de5e3750774b3ce796
encode_83,ENCFF465CTL.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,B cell,EZH2,ENCODE,ENCFF465CTL,narrowPeak,EZH2 TF ChIP-seq on human B cell,5281162,4f166c8e7abdd37317a7430834fe08fa
encode_84,ENCFF434OEY.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,B cell,EZH2,ENCODE,ENCFF434OEY,narrowPeak,EZH2 TF ChIP-seq on human B cell,54583,83002dbf23f1aca99b55c8f8b3131fdf
encode_85,ENCFF741FOY.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,B cell,EZH2,ENCODE,ENCFF741FOY,narrowPeak,EZH2 TF ChIP-seq on human B cell,28871,c3014b2ed19c76d13305bb23a3b2f93c
encode_86,ENCFF661APF.bed.gz,hg38,Homo sapiens,9606,CAGE,placental pericyte,,ENCODE,ENCFF661APF,tss_peak,CAGE on human placental pericyte,414792,1472e7394070a6893e7504ea4da8866c
encode_87,ENCFF711IGY.bed.gz,hg38,Homo sapiens,9606,CAGE,placental pericyte,,ENCODE,ENCFF711IGY,tss_peak,CAGE on human placental pericyte,27007,08ec2b2ed890795b6ae193df5ac093fa
encode_88,ENCFF987QTC.bed.gz,hg38,Homo sapiens,9606,CAGE,placental pericyte,,ENCODE,ENCFF987QTC,idr_peak,CAGE on human placental pericyte,13363,2aa33ca7677a8035a2de6a645ab466ec
encode_89,ENCFF175UZL.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,camera-type eye,,ENCODE,ENCFF175UZL,tss_peak,RAMPAGE on human camera-type eye,306870,153d6ab4bb68384897e93dd2e1646b95
encode_91,ENCFF532DHW.bed.gz,hg38,Homo sapiens,9606,DNase-seq,skeletal muscle myoblast,,ENCODE,ENCFF532DHW,broadPeak,DNase-seq on human skeletal muscle myoblast,2195162,d80a4228f3740dd1d79051e1cb5a836f
encode_92,ENCFF216SNT.bed.gz,hg38,Homo sapiens,9606,DNase-seq,skeletal muscle myoblast,,ENCODE,ENCFF216SNT,narrowPeak,DNase-seq on human skeletal muscle myoblast,1397415,9f5adc9e913ccd803b303826b22c0dca
encode_94,ENCFF976TET.bed.gz,hg38,Homo sapiens,9606,DNase-seq,skeletal muscle myoblast,,ENCODE,ENCFF976TET,broadPeak,DNase-seq on human skeletal muscle myoblast,7041905,65d08f49f3f73fa11b0536cd952bfca3
encode_95,ENCFF352KQN.bed.gz,hg38,Homo sapiens,9606,DNase-seq,skeletal muscle myoblast,,ENCODE,ENCFF352KQN,narrowPeak,DNase-seq on human skeletal muscle myoblast,4885444,5223d4f7ec610a2cc128c7c16359dc53
encode_96,ENCFF200WGF.bed.gz,hg38,Homo sapiens,9606,DNase-seq,skeletal muscle myoblast,,ENCODE,ENCFF200WGF,narrowPeak,DNase-seq on human skeletal muscle myoblast,1398730,2ebb1211f58a1323fd85a2018922d840
encode_97,ENCFF247SMV.bed.gz,hg38,Homo sapiens,9606,DNase-seq,skeletal muscle myoblast,,ENCODE,ENCFF247SMV,broadPeak,DNase-seq on human skeletal muscle myoblast,2178066,22a0d1d1d41c9cc6285d287f58b58083
encode_98,ENCFF224BAC.bed.gz,hg38,Homo sapiens,9606,DNase-seq,skeletal muscle myoblast,,ENCODE,ENCFF224BAC,broadPeak,DNase-seq on human skeletal muscle myoblast,5177834,6021504746775abb95b5cbf0f298c1d9
encode_99,ENCFF710XCN.bed.gz,hg38,Homo sapiens,9606,DNase-seq,skeletal muscle myoblast,,ENCODE,ENCFF710XCN,narrowPeak,DNase-seq on human skeletal muscle myoblast,3737447,c34c38c8b61126dd267825806ca8936d
encode_100,ENCFF802KVK.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,DND-41,H3K79me2,ENCODE,ENCFF802KVK,narrowPeak,H3K79me2 Histone ChIP-seq on human DND-41,3233081,450fffc73970320ec72b84eb4308a51f
encode_101,ENCFF589DUB.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,DND-41,H3K79me2,ENCODE,ENCFF589DUB,narrowPeak,H3K79me2 Histone ChIP-seq on human DND-41,3820532,4384dac6fe85362739ef1619ae2afdb7
encode_102,ENCFF233ERF.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,DND-41,H3K79me2,ENCODE,ENCFF233ERF,narrowPeak,H3K79me2 Histone ChIP-seq on human DND-41,3397518,61ec69492e0b1d5ed29acfa90f7e2111
encode_103,ENCFF126HJS.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,DND-41,H3K79me2,ENCODE,ENCFF126HJS,narrowPeak,H3K79me2 Histone ChIP-seq on human DND-41,3292707,512c2ededbff7923fac23a5a960d11ce
encode_104,ENCFF860DEC.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,K562,H3K4me3,ENCODE,ENCFF860DEC,narrowPeak,H3K4me3 Histone ChIP-seq on human K562,1219457,126d5e7e0651d8da3590bab21fbdf082
encode_105,ENCFF500EUY.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,K562,H3K4me3,ENCODE,ENCFF500EUY,narrowPeak,H3K4me3 Histone ChIP-seq on human K562,1016386,67651c2495c9d50bfe5b27d1dd6fb630
encode_106,ENCFF251TOG.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,K562,H3K4me3,ENCODE,ENCFF251TOG,narrowPeak,H3K4me3 Histone ChIP-seq on human K562,1021012,e07513feb015418f47e0ddc48f0bf9be
encode_107,ENCFF909PMV.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,K562,H3K4me3,ENCODE,ENCFF909PMV,narrowPeak,H3K4me3 Histone ChIP-seq on human K562,1069763,98351c87676015f7bd19a36241a45542
encode_108,ENCFF565KKR.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,K562,H3K4me2,ENCODE,ENCFF565KKR,narrowPeak,H3K4me2 Histone ChIP-seq on human K562,2236051,19e51f25a4c0ead60cb1e7bfa0f3d554
encode_109,ENCFF390XFA.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,K562,H3K4me2,ENCODE,ENCFF390XFA,narrowPeak,H3K4me2 Histone ChIP-seq on human K562,1363038,09f45c3dd98ccfe7dd4605475b1fd5aa
encode_110,ENCFF104FIT.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,K562,H3K4me2,ENCODE,ENCFF104FIT,narrowPeak,H3K4me2 Histone ChIP-seq on human K562,1679990,4ad34706d4aa69edb33ff5577be6dc81
encode_111,ENCFF118PIE.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,K562,H3K4me2,ENCODE,ENCFF118PIE,narrowPeak,H3K4me2 Histone ChIP-seq on human K562,1630598,5439ad7fe0e14902c54fb5617ac9684b
encode_113,ENCFF177LCP.bed.gz,hg38,Homo sapiens,9606,DNase-seq,frontal cortex,,ENCODE,ENCFF177LCP,broadPeak,DNase-seq on human frontal cortex,2049312,d69b3cbaa83b2680f3992519cebc4a0e
encode_114,ENCFF855HES.bed.gz,hg38,Homo sapiens,9606,DNase-seq,frontal cortex,,ENCODE,ENCFF855HES,narrowPeak,DNase-seq on human frontal cortex,1549194,b02a38303e6e8844d4e9d839641dd404
encode_116,ENCFF738SQY.bed.gz,hg38,Homo sapiens,9606,DNase-seq,frontal cortex,,ENCODE,ENCFF738SQY,broadPeak,DNase-seq on human frontal cortex,2378878,55adb2cebac1a405882d7fe43f8ba4fe
encode_117,ENCFF255NTQ.bed.gz,hg38,Homo sapiens,9606,DNase-seq,frontal cortex,,ENCODE,ENCFF255NTQ,narrowPeak,DNase-seq on human frontal cortex,1795224,338be538ee7f9799122c73fea29d7eec
encode_118,ENCFF307CRF.bed.gz,hg38,Homo sapiens,9606,DNase-seq,frontal cortex,,ENCODE,ENCFF307CRF,broadPeak,DNase-seq on human frontal cortex,2024905,c0eb483d572dea7b280568910a29b9d3
encode_119,ENCFF301AOO.bed.gz,hg38,Homo sapiens,9606,DNase-seq,frontal cortex,,ENCODE,ENCFF301AOO,narrowPeak,DNase-seq on human frontal cortex,1550564,0efe5691e23c8c90eab2823902b8c228
