59daa0c66214c301eef55a7b4d26cd69.bed.gz	T2T.excluderanges
001997a821e4295f70fd03effcb94a6b.bed.gz	hg38.Kundaje.GRCh38_unified_Excludable
ce9f6e8adf5779edb632245a166b92bd.bed.gz	mm39.UCSC.centromere
ab14b63f69b6b47a07902f945d030955.bed.gz	hg38.Wimberley.peakPass60Perc_sorted
8e26147a2d3a215a46a9bca82494f289.bed.gz	hg19.UCSC.centromere
2bd9fa2c96a0053c1dcc1a6c94b43ac2.bed.gz	mm10.Lareau.mm10.full.Excludable
8b769f337f017ac5b90d1c5c30ca3fc3.bed.gz	hg38.Boyle.hg38-Excludable.v2
93501be47465eb2ece3530e55c7cd37e.bed.gz	mm9.UCSC.contig
ec8179a55ab7e649e15762d0e8cb5378.bed.gz	mm10.Hardison.Excludable.full
42ad8a4a12c47f7031d6b162df3bda5a.bed.gz	mm10.Hardison.psuExcludable.mm10
f3b644b740da34549eb8309c9e7a1950.bed.gz	hg38.UCSC.contig
43bd1a24dcfe0c64d5cd932cd9ac41a9.bed.gz	mm39.UCSC.telomere
027d48df8ac311e3650c56db30b55063.bed.gz	mm10.UCSC.short_arm
acc89308d731cb3c6caaee83294d51a1.bed.gz	TAIR10.Klasfeld.arabidopsis_Excludable_20inputs
4031fd4a2cf5648cf90b91316251c0b4.bed.gz	danRer10.UCSC.contig
ba535165a4226cf8edcc92599d194895.bed.gz	danRer10.UCSC.scaffold
6bc6da7263554de66fe4c6c48d5b69a6.bed.gz	mm10.UCSC.telomere
e868295c2727b004fdee15f733108083.bed.gz	hg19.Birney.wgEncodeDacMapabilityConsensusExcludable
e10b4c0f816e4b44444cc011e104331f.bed.gz	hg19.Lareau.hg19.full.Excludable
fac94d97885839c1c1da4a6bd739741f.bed.gz	hg19.Wold.hg19mitoExcludable
3d6d5945e7ec7ea5c9866e0650de5a5b.bed.gz	hg19.Crawford.wgEncodeDukeMapabilityRegionsExcludable
696d430f94087e8e87d6b81a9766ad35.bed.gz	hg38.Wold.hg38mitoExcludable
2ea082d200401d1d41883fa63f0cf3b1.bed.gz	hg38.Reddy.wgEncodeDacMapabilityConsensusExcludable.hg38
41cdd50db6c8bf143b13b439274188e6.bed.gz	dm3.Kundaje.dm3-Excludable
b56d842d5727f1cfaaccb0bdc1bba6ad.bed.gz	hg19.UCSC.telomere
80d2b2581bb25fa6b73ec56c11969fb3.bed.gz	hg38.UCSC.telomere
540421163cc088c4b7496437b3958121.bed.gz	hg19.UCSC.numtS
972395972e5d775eff6132a93f077c0b.bed.gz	mm10.Kundaje.anshul.Excludable.mm10
738c85a7458da55ccac02998c521e067.bed.gz	dm6.UCSC.other
18ff4826790b4a3262318e0c75628106.bed.gz	mm39.UCSC.scaffold
7d73b4142096e8a558701f1e84dcac53.bed.gz	mm39.UCSC.contig
a09cb004586986ec087afb6506d16d79.bed.gz	mm10.UCSC.contig
416edd392d76e86dbfd04b5d342f94f7.bed.gz	ce10.Kundaje.ce10-Excludable
8d84648489c1373d8a73b4a90e6f155a.bed.gz	mm10.UCSC.other
96819fd0a250f9754f54fa7f0a6ac27d.bed.gz	ce10.Boyle.ce10-Excludable.v2
e6cd0dbb252be66f8c2bdb0d23ed431c.bed.gz	T2T.CHM13.chm13.draft_v1.1.telomere
4c00872749ba54e12f2ab253a701d8d4.bed.gz	ce11.Boyle.ce11-Excludable.v2
401f2d80ff68d3cf339b3a2609871042.bed.gz	T2T.Lareau.chm13v2.0_peaks
f28a2f1b94071c7f48b37e1152d8d487.bed.gz	mm9.Lareau.mm9_peaks
790c14caaf5786da4b4c7496e4157e12.bed.gz	hg19.Lareau.hg19_peaks
e0d519f0338f2530d5969a6d7732a0e8.bed.gz	hg38.Lareau.hg38_peaks
396cbd90a380ca2df123951243f07b60.bed.gz	hg38.Lareau.hg38.full.Excludable
e3dea8b314b637257e98be51338af5c5.bed.gz	hg38.UCSC.scaffold
34da9b88217847183db132c11dddb030.bed.gz	TAIR10.Wimberley.predicted_excluded_list_sorted_0.6
ee9d11eb66ba83ccd6805b61bc5a7bf7.bed.gz	TAIR10.Klasfeld.arabidopsis_greenscreen_20inputs
eef2eb209a52fe6d8e952fd48e521800.bed.gz	danRer10.Domingues.Excludableed
0f77337c25943b060e57ee23224e2fc4.bed.gz	TAIR10.UCSC.araTha1.gap
6d8b1d608bc245cd4f79b44cb9862477.bed.gz	mm9.UCSC.numtS
d3eeb09fefd213ba463b8bc72b6111b9.bed.gz	mm10.Kundaje.mm10.Excludable
8e3c9b1981501402123e669fc893868b.bed.gz	dm3.Boyle.dm3-Excludable.v2
1dab13704169300d76bf67ddc9187344.bed.gz	dm3.UCSC.contig
6da08e8ee4c14571ca3d77ee49093bef.bed.gz	hg19.Yeo.eCLIP_Excludableregions.hg19
1ae4b93b59c444e913fd5317b751bbaa.bed.gz	mm9.UCSC.fragment
9ad4bb4e304f2596ed0a7020ed5c9ff3.bed.gz	mm9.Wold.mm9mitoExcludable
b62b6f18d7ab2fe0ad46824d24b76a1a.bed.gz	mm10.Wold.mm10mitoExcludable
7e82e2791b0337db26666af05d51b6c2.bed.gz	mm10.UCSC.clone
